Date,URL
FRIDAY 1ST APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-4/sharks-v-knights/
FRIDAY 1ST APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-4/panthers-v-rabbitohs/
SATURDAY 2ND APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-4/warriors-v-broncos/
SATURDAY 2ND APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-4/sea-eagles-v-raiders/
SATURDAY 2ND APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-4/cowboys-v-roosters/
SUNDAY 3RD APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-4/storm-v-bulldogs/
SUNDAY 3RD APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-4/eels-v-dragons/
THURSDAY 7TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-5/knights-v-sea-eagles/
FRIDAY 8TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-5/warriors-v-cowboys/
FRIDAY 8TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-5/broncos-v-roosters/
SATURDAY 9TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-5/raiders-v-storm/
SATURDAY 9TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-5/rabbitohs-v-dragons/
SATURDAY 9TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-5/titans-v-eels/
SUNDAY 10TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-5/sharks-v-wests-tigers/
SUNDAY 10TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-5/bulldogs-v-panthers/
THURSDAY 14TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-6/raiders-v-cowboys/
FRIDAY 15TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-6/rabbitohs-v-bulldogs/
FRIDAY 15TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-6/panthers-v-broncos/
SATURDAY 16TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-6/sea-eagles-v-titans/
SATURDAY 16TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-6/storm-v-sharks/
SUNDAY 17TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-6/roosters-v-warriors/
SUNDAY 17TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-6/dragons-v-knights/
MONDAY 18TH APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-6/eels-v-wests-tigers/
THURSDAY 21ST APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-7/sharks-v-sea-eagles/
FRIDAY 22ND APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-7/broncos-v-bulldogs/
SATURDAY 23RD APRIL,https://www.nrl.com/draw/nrl-premiership/2022/round-7/cowboys-v-titans/
